Pantalón vaquero,Pantalón de mezclilla azul,39.99,20,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/9/92/Denimjeans2.JPG,1
Pantalón cargo,Pantalón cómodo con bolsillos adicionales,42.99,25,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/c/cd/Cargo_pants_001.jpg,1
Pantalón deportivo,Pantalón ajustado para hacer ejercicio,34.99,30,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/8/84/Tracksuit_bottoms.jpg,1
Pantalón chino,Pantalón elegante para ocasiones formales,44.99,18,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/3/3e/Chino_pants.jpg,1
Pantalón de lino,Pantalón ligero para el verano,39.99,1,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/8/82/Trousers_MET_1978.88.12_F.jp,1
Sudadera con capucha,Sudadera negra con bolsillo delantero,29.99,15,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/e/e5/Sudadera_urban.jpg,2
Sudadera sin capucha,Sudadera básica para cualquier ocasión,27.99,0,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/e/ea/Jersei-coll-alt.jpg,2
Sudadera estampada,Sudadera con diseño gráfico,32.99,10,2025-02-02,hhttps://upload.wikimedia.org/wikipedia/commons/1/16/Dale_of_Norway_sweater.jpg,2
Sudadera deportiva,Sudadera ajustada para entrenar,34.99,12,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/6/6d/Windjack_-_Windbreaker.jpg,2
Camiseta blanca,Camiseta de algodón blanco,14.99,30,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/c/cd/T-Shirt_Wikipedia_white.jpg,3
Camiseta negra,Camiseta básica de color negro,14.99,25,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/3/37/T-Shirt_Wikipedia_black.jpg,3
Camisa Moderna,Camiseta con diseño moderno,19.99,2,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/c/c9/New-style-T-shirt-00455657.j,3
Camiseta de manga larga,Camiseta cómoda para clima frío,22.99,18,2025-02-02,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,3
Camisa de lino,Camisa ligera ideal para verano,24.99,10,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/6/68/Shirt%2C_man%27s_%28AM_2016.,4
Camisa a cuadros,Camisa de estilo casual,27.99,20,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/2/2c/Check_shirt.jpg,4
Camisa formal,Camisa para ocasiones elegantes,29.99,18,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/0/09/Shirt%2C_men%27s_%28AM_2015.,4
Camisa hawaiana,Camisa fresca con estampado tropical,24.99,14,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/3/3c/Guiness_hilo_hattie_aloha_sh,4
Chaqueta de cuero,Chaqueta de cuero sintético,59.99,3,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/b/b8/Leather_Jacket_%285101116208,5
Chaqueta de mezclilla,Chaqueta estilo denim,49.99,8,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/1/10/Denim_Jacket_%2851079649933%,5
Chaqueta acolchada,Chaqueta para clima frío,69.99,12,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/d/df/MA-1_Jacket_in_petrol.jpg,5
Chaqueta impermeable,Chaqueta para días de lluvia,74.99,0,2025-02-02,https://upload.wikimedia.org/wikipedia/commons/4/46/Windbreaker_Jacket%2C_Hood_O,5